0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:35:19 +0530] "GET /MyFirstWebProject/user.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:37:00 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:37:02 +0530] "GET /MyFirstWebProject/user.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:37:04 +0530] "GET /MyFirstWebProject/userRegister.html HTTP/1.1" 200 1432
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:37:06 +0530] "GET /MyFirstWebProject/user.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:38:37 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:38:58 +0530] "GET /MyFirstWebProject/user.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:40:13 +0530] "GET /MyFirstWebProject/userRegister.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:40:21 +0530] "GET /MyFirstWebProject/user.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:43:18 +0530] "GET /MyFirstWebProject/userRegister.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:44:54 +0530] "GET /MyFirstWebProject/userRegister.html HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:44:54 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:44:55 +0530] "GET /MyFirstWebProject/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:46:36 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:46:36 +0530] "GET /MyFirstWebProject/image/download.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:46:38 +0530] "GET /MyFirstWebProject/user.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:46:41 +0530] "GET /MyFirstWebProject/userRegister.html HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:47:07 +0530] "GET /MyFirstWebProject/user.html HTTP/1.1" 304 -
